Meadow,Site,MS,Elevation,Species1,Species2,Schoener,OverallVsPlants
a,1,a1,1020.6,ProportionAnemone narcissiflora,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionAnthericum ramosum,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionApiaceae sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionArnica montana,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionAster amellus,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionAster bellidiastrum,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionAtroba belladonna,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionBistorta vivipara,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionCapsella bursa-pastoris,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionCarduus defloratus,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionCentaurium sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionCephalanthera longifolia,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionChenopodium sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionCichorium intybus,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionCirsium arvense,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionCoeglossum viride,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionConvolvulus arvensis,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionCrepis sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionCrepis sp# 2,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionCuscuta europaeae,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionDianthus sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionEpilobium sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionFragaria sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionGentiana sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionGeranium sanguineum?,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionGeranium sylvaticum,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionGlobularia cardiflora,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionGlobularia nudicaulis,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionGymnadenia conopsea,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionHippocrepis comosa,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionLamium album,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionLathyrus sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionLigustrum vulgare,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionMaianthemum bifolium,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionMalva neglecta,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionMelampyrum sylvaticum,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionMycelis muralis,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionMyosotes sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionNeottia ovata,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionOdontites luteus,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionOnobrychis vicifolia,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionOphrus apifera,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionOphrus insectifera,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionOrchis mascula,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionOriganum vulgare,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionParnassia palustris,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionPhyteuma orbiculare,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionPlantago major,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionPlanthera bifolia,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionPlatanthera chlorantha,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionPolygala alpestris,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionPolygala vulgaris,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionPrimula veris,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionPulsatilla sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionReseda lutea,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionRhinanthus minor,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionRubus sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionRumex sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionSambucus sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionSanguisorba minor,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionSaponaria ocymoides?,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionSedum album,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionSedum sp# yellow,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionSenecio sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionSilene dioica,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionSilene nutans,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionSisymbrium officinale,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionSolanum dulgamara,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionSolidago virgaurea,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionSpiranthes spiralis,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionStachys recta,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionThesium sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionTragopodon pratensis,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionTrifolium badium,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionTrolleis europaeus,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionUrtica dioica,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionVaccinium vitis-idaea,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionValeriana,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionVerbena officinalis,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionVeronica chamaedris,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionVeronica officinalis,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionVeronica sp#,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionVeronica teucrium,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionVicia cracca,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionVincetoxicum hirundinaria,ProportionZInsectDensity,,x
a,1,a1,1020.6,ProportionViola sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionAcinos alpinus,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionAconitum anthora,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionAconitum napellus,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionAegopodium podagraria,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionAjuga pyramidalis,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionAjuga reptans,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionAlchemilla sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionAllium carinatum,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionAnemone narcissiflora,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionAnthyllis vulneraria,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionApiaceae sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionArnica montana,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionAster amellus,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionAster bellidiastrum,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionAtroba belladonna,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionBellis perennis,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionBistorta vivipara,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionCapsella bursa-pastoris,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionCarduus defloratus,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionCarduus nutans,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionCentaurium sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionCephalanthera longifolia,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionCerastium sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionChenopodium sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionCichorium intybus,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionCirsium arvense,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionCoeglossum viride,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionConvolvulus arvensis,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionConyza sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionCrepis sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionCrepis sp# 2,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionCrepis/Hieracium,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionCuscuta europaeae,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionDianthus sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionEpilobium sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionEuphorbia cyparissias,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionFragaria sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionGalium sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionGentiana sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionGeranium pusillum,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionGeranium sanguineum?,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionGeranium sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionGeranium sylvaticum,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionGlobularia cardiflora,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionGlobularia nudicaulis,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionGymnadenia conopsea,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionHieracium pilosella,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionLamium album,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionLathyrus sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionMaianthemum bifolium,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionMalva neglecta,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionMedicago minima,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionMelampyrum sylvaticum,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionMycelis muralis,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionMyosotes sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionNeottia ovata,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionOdontites luteus,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionOnobrychis vicifolia,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionOphrus apifera,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionOphrus insectifera,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionOrchis mascula,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionOriganum vulgare,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionPastinaca sativa,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionPhyteuma orbiculare,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionPlatanthera chlorantha,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionPolygala alpestris,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionPolygonum aviculare,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionPotentilla sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionPrimula veris,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionPulsatilla sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionReseda lutea,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionRhinanthus minor,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionRumex sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionSambucus sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionSaponaria ocymoides?,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionSedum album,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionSedum sp# yellow,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionSenecio sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionSilene dioica,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionSilene nutans,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionSisymbrium officinale,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionSolanum dulgamara,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionSolidago virgaurea,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionSpiranthes spiralis,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionStachys officinalis,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionStachys recta,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionTaraxacum sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionTragopodon pratensis,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionTrifolium badium,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionTrifolium campestre,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionTrolleis europaeus,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionUrtica dioica,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionVaccinium vitis-idaea,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionValeriana,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionVerbena officinalis,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionVeronica chamaedris,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionVeronica officinalis,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionVeronica sp#,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionVeronica spicata,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionVeronica teucrium,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionVicia cracca,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionVicia sepium,ProportionZInsectDensity,,x
a,2,a2,984.9,ProportionViola sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionAconitum anthora,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionAconitum napellus,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionAegopodium podagraria,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionAjuga pyramidalis,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionAjuga reptans,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionAlchemilla sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionAllium carinatum,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionAnacamptis pyramidalis,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionAnemone narcissiflora,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionAnthyllis vulneraria,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionArnica montana,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionAster amellus,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionAster bellidiastrum,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionAtroba belladonna,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionBellis perennis,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionBistorta vivipara,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionCapsella bursa-pastoris,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionCarduus defloratus,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionCarduus nutans,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionCarlina vulgaris,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionCentaurium sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionCephalanthera longifolia,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionChenopodium sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionCichorium intybus,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionCirsium arvense,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionCoeglossum viride,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionConvolvulus arvensis,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionConyza sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionCrepis sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionCrepis sp# 2,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionCrepis/Hieracium,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionCuscuta europaeae,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionDianthus sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionEpilobium sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionEuphorbia cyparissias,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionFragaria sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionGentiana sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionGentiana verna,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionGeranium sanguineum?,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionGeranium sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionGeranium sylvaticum,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionGlobularia cardiflora,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionGymnadenia conopsea,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionLamium album,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionLathyrus sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionMaianthemum bifolium,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionMalva neglecta,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionMedicago minima,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionMelampyrum sylvaticum,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionMycelis muralis,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionMyosotes sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionNeottia ovata,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionOdontites luteus,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionOnobrychis vicifolia,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionOphrus apifera,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionOphrus insectifera,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionOrchis mascula,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionOriganum vulgare,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionParnassia palustris,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionPastinaca sativa,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionPhyteuma orbiculare,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionPlantago major,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionPlanthera bifolia,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionPlatanthera chlorantha,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionPolygala alpestris,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionPolygala comosa,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionPolygala vulgaris,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionPrimula veris,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionPulsatilla sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionReseda lutea,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionRhinanthus minor,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionRumex sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionSambucus sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionSanguisorba minor,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionSaponaria ocymoides?,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionSenecio sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionSilene dioica,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionSilene nutans,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionSisymbrium officinale,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionSolidago virgaurea,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionSpiranthes spiralis,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionStachys recta,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionThesium sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionTragopodon pratensis,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionTrifolium badium,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionTrifolium campestre,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionTrolleis europaeus,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionVaccinium vitis-idaea,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionValeriana,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionVerbena officinalis,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionVeronica chamaedris,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionVeronica officinalis,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionVeronica sp#,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionVicia sepium,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionVincetoxicum hirundinaria,ProportionZInsectDensity,,x
a,3,a3,949.8,ProportionViola sp#,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionAcinos alpinus,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionAconitum anthora,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionAconitum napellus,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionAegopodium podagraria,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionAjuga pyramidalis,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionAjuga reptans,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionAlchemilla sp#,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionAnacamptis pyramidalis,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionAnemone narcissiflora,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionAnthericum ramosum,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionApiaceae sp#,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionArnica montana,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionAster amellus,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionAster bellidiastrum,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionAtroba belladonna,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionBistorta vivipara,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionBuphthalmum salicifolium,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionCapsella bursa-pastoris,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionCarduus defloratus,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionCarlina vulgaris,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionCephalanthera longifolia,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionChenopodium sp#,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionCichorium intybus,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionCoeglossum viride,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionConvolvulus arvensis,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionConyza sp#,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionCrepis sp#,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionCrepis sp# 2,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionCuscuta europaeae,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionDianthus sp#,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionEchium vulgare,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionEpilobium sp#,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionEuphorbia cyparissias,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionFragaria sp#,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionGentiana sp#,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionGeranium sanguineum?,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionGeranium sylvaticum,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionGlobularia cardiflora,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionGlobularia nudicaulis,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionGymnadenia conopsea,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionHippocrepis comosa,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionLamium album,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionLathyrus sp#,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionLigustrum vulgare,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionLotus maritimus,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionMaianthemum bifolium,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionMalva neglecta,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionMedicago minima,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionMycelis muralis,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionMyosotes sp#,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionNeottia ovata,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionOdontites luteus,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionOnobrychis vicifolia,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionOphrus apifera,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionOphrus insectifera,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionOrchis mascula,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionOriganum vulgare,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionPastinaca sativa,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionPhyteuma orbiculare,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionPlantago major,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionPlanthera bifolia,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionPlatanthera chlorantha,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionPolygala alpestris,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionPrimula veris,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionPulsatilla sp#,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionReseda lutea,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionRumex sp#,ProportionZInsectDensity,,x
a,4,a4,1002.8,ProportionSambucus sp#,ProportionZInsectDensity,,x
