Samplenro,Notebook,Day,Month,DOY,SDOY,Meadow,Site,MeadowSite,Totalflowers,Species,SumOfInsects2,SumOfEffort,InsectDensity,MinOfAchilleamillefolium,MinOfAcinosalpinus,MinOfAconitumnapellus,MinOfAconitumanthora,MinOfAegopodiumpodagraria,MinOfAgrimoniaeupatoria,MinOfAjugareptans,MinOfAjugapyramidalis,MinOfAlchemillasp,MinOfAlliumcarinatum,MinOfAnacamptispyramidalis,MinOfAnemonenarcissiflora,MinOfAnthericumramosum,MinOfAnthyllisvulneraria,MinOfApiaceaesp,MinOfArabis/Arabidopsis,MinOfArenaria/Linumym,MinOfArnicamontana,MinOfAsperulacynanchica,MinOfAsteramellus,MinOfAsterbellidiastrum,MinOfAtrobabelladonna,MinOfBellisperennis,MinOfBistortavivipara,MinOfBuphthalmumsalicifolium,MinOfCarumcarvi,MinOfClinopodiumvulgare,MinOfCampanulaglomerata,MinOfCampanulasp,MinOfCapsellabursa-pastoris,MinOfCarduusdefloratus,MinOfCarduusnutans,MinOfCarlinaacaulis,MinOfCarlinavulgaris,MinOfCentaureasp,MinOfCentauriumsp,MinOfCephalantheralongifolia,MinOfCerastiumsp,MinOfChenopodiumsp,MinOfCichoriumintybus,MinOfCirsiumarvense,MinOfCirsiumacaule,MinOfCoeglossumviride,MinOfConyzasp,MinOfConvolvulusarvensis,MinOfCrepissp,MinOfCrepissp2,MinOfCrepis/Hieracium,MinOfCrepis/Hieracium/Leontodon,MinOfCuscutaeuropaeae,MinOfDaucuscarota,MinOfDianthussp,MinOfEchiumvulgare,MinOfEpilobiumsp,MinOfEuphrasiasp,MinOfEuphorbiacyparissias,MinOfFragariasp,MinOfGaliumverum,MinOfGaliumsp,MinOfGentianasp,MinOfGentianaverna,MinOfGeraniumsylvaticum,MinOfGeraniumpusillum,MinOfGeraniumsanguineum?,MinOfGeraniumsp,MinOfGlobularianudicaulis,MinOfGlobulariacardiflora,MinOfGymnadeniaconopsea,MinOfHelianthemumnummularium,MinOfHieraciumpilosella,MinOfHippocrepiscomosa,MinOfHypericumsp,MinOfKnautia/Scabiosa,MinOfLamiumalbum,MinOfLathyruspratensis,MinOfLathyrussp,MinOfLeucanthemumvulgare,MinOfLigustrumvulgare,MinOfLotuscorniculatus,MinOfLotusmaritimus,MinOfMaianthemumbifolium,MinOfMalvaneglecta,MinOfMedicagolupulina,MinOfMedicagominima,MinOfMedicagosativa,MinOfMelampyrumsylvaticum,MinOfMycelismuralis,MinOfMyosotessp,MinOfNeottiaovata,MinOfOdontitesluteus,MinOfOnobrychisvicifolia,MinOfOnonisspinosa,MinOfOphrusapifera,MinOfOphrusinsectifera,MinOfOrchismascula,MinOfOrchisustulata,MinOfOriganumvulgare,MinOfParnassiapalustris,MinOfPastinacasativa,MinOfPeucedanumsp,MinOfPhyteumaorbiculare,MinOfPimpinellasp,MinOfPlantagolanceolata,MinOfPlantagomajor,MinOfPlantagomedia,MinOfPlantherabifolia,MinOfPlatantherachlorantha,MinOfPolygalaalpestris,MinOfPolygalacomosa,MinOfPolygalavulgaris,MinOfPolygonumaviculare,MinOfPotentillaerecta,MinOfPotentillasp,MinOfPrimulaveris,MinOfPrunellasp,MinOfPulsatillasp,MinOfRanunculussp,MinOfRhinanthusminor,MinOfResedalutea,MinOfRosasp,MinOfRubussp,MinOfRumexsp,MinOfSalviapratensis,MinOfSambucussp,MinOfSanguisorbaminor,MinOfSaponariaocymoides?,MinOfSedumspyellow,MinOfSedumalbum,MinOfSeneciosp,MinOfSilenedioica,MinOfSilenenutans,MinOfSilenevulgaris,MinOfSisymbriumofficinale,MinOfSolanumdulgamara,MinOfSolidagovirgaurea,MinOfSpiranthesspiralis,MinOfStachysofficinalis,MinOfStachysrecta,MinOfTaraxacumsp,MinOfTeucriumchamaedris,MinOfTeuriummontanum,MinOfThesiumsp,MinOfThymussp,MinOfTragopodonpratensis,MinOfTrifoliumcampestre,MinOfTrifoliumbadium,MinOfTrifoliummontana,MinOfTrifoliumpratense,MinOfTrifoliumrepens,MinOfTrolleiseuropaeus,MinOfUrticadioica,MinOfVacciniumvitis-idaea,MinOfValeriana,MinOfVerbenaofficinalis,MinOfVeronicachamaedris,MinOfVeronicaofficinalis,MinOfVeronicaspicata,MinOfVeronicateucrium,MinOfVeronicasp,MinOfViciacracca,MinOfViciasepium,MinOfVincetoxicumhirundinaria,MinOfViolasp,MinOfSpecies,MinOfSumOfCowfeces,MinOfSumOfBareground,MinOfSumOfRock,MinOfSumOfBryophytes,MinOfSumOfLitter,MinOfelevation,Selevation,ElevationKM,MinOfColeoptera,MinOfColeopteraBuprestidae,MinOfColeopteraCantharidae,MinOfColeopteraCerambycidae,MinOfColeopteraCetonidae,MinOfColeopteraChrysomelidae,MinOfColeopteraCleridae,MinOfColeopteraMalachiidae,MinOfColeopteraMeloidae,MinOfColeopteraMelyridae,MinOfColeopteraMordellidae,MinOfColeopteraOedemeridae,MinOfColeopteraScarabidae,MinOfColeopteraTenebrionidae,MinOfDiptera,MinOfDipteraAsilidae,MinOfDipteraBibinionidae,MinOfDipteraCalliphoridae,MinOfDipteraConopsidae,MinOfDipteraBombylidae,MinOfDipteraEmpididae,MinOfDipteraMuscidae,MinOfDipteraSarcophagidae,MinOfDipteraSyrphidae,MinOfDipteraTachinidae,MinOfDipteraTephritidae,MinOfHymenoptera,MinOfHymenopteraApidae,MinOfHymenopteraBraconidae,MinOfHymenopteraChrysidae,MinOfHymenopteraFormicidae,MinOfHymenopteraIchneumonidae,MinOfHymenopteraLeucospidae,MinOfHymenopteraPompelinidae,MinOfHymenopteraSpecidae,MinOfHymenopteraSphecidae,MinOfHymenopteraTenthredinidae,MinOfHymenopteraVespidae,MinOfRaphidioptera,InsectsPerFlower,MinOfTemperature,MinOfSumOfEffort,ColeopteraDensity,ColeopteraBuprestidaeDensity,ColeopteraCantharidaeDensity,ColeopteraCerambycidaeDensity,ColeopteraCetonidaeDensity,ColeopteraChrysomelidaeDensity,ColeopteraCleridaeDensity,ColeopteraMalachiidaeDensity,ColeopteraMeloidaeDensity,ColeopteraMelyridaeDensity,ColeopteraMordellidaeDensity,ColeopteraOedemeridaeDensity,ColeopteraScarabidaeDensity,ColeopteraTenebrionidaeDensity,DipteraDensity,DipteraAsilidaeDensity,DipteraBibinionidaeDensity,DipteraCalliphoridaeDensity,DipteraConopsidaeDensity,DipteraBombylidaeDensity,DipteraEmpididaeDensity,DipteraMuscidaeDensity,DipteraSarcophagidaeDensity,DipteraSyrphidaeDensity,DipteraTachinidaeDensity,DipteraTephritidaeDensity,HymenopteraDensity,HymenopteraApidaeDensity,HymenopteraBraconidaeDensity,HymenopteraChrysidaeDensity,HymenopteraFormicidaeDensity,HymenopteraIchneumonidaeDensity,HymenopteraLeucospidaeDensity,HymenopteraPompelinidaeDensity,HymenopteraSpecidaeDensity,HymenopteraSphecidaeDensity,HymenopteraTenthredinidaeDensity,HymenopteraVespidaeDensity,RaphidiopteraDensity
44,1,5,7,186,0.899067787,i,4,i4,3209,33,50,50.01,0.99980004,500,,,,,50,,,,,,,,,,,,,,,,,1,,,200,3,,,2,,6,,,,,,20,,10,,,,,,,,30,,,,,,,,,,20,,,,,10,,,,,,10,,,,2,,20,,1,,100,,,,120,,300,,,,,,15,10,,,,,,,,5,,1,100,,50,,,,,,,,,,,,1200,,,,,,150,,,,,,5,,,,,,,,,,15,,,,50,,,,100,3,,,,,,,,,100,,,,,,,46,3.6,19.8,0,0.05,10.85,702.4,0.6407768,0.7024,,,,,,1,,,,,,1,,,1,,,,,,,28,,13,,,,2,,,,3,,,,,,1,,0.000311561,23,50.01,0,0,0,0,0,0.019996001,0,0,0,0,0,0.019996001,0,0,0.019996001,0,0,0,0,0,0,0.559888022,0,0.25994801,0,0,0,0.039992002,0,0,0,0.059988002,0,0,0,0,0,0.019996001,0
45,1,5,7,186,0.899067787,i,5,i5,4260,44,50,116.69,0.428485731,150,,,,,3,,,,,,,1,50,,,1,,400,,,,,,,30,,1,30,,,,,,,,,30,,50,,,,,,10,,8,10,,,7,16,,2,,,30,,,,,1,,,50,,,300,,,1,20,,,,1,,200,,,,30,,50,,,,,,,3,,,,,,,,2,,60,100,,20,,,,,,,3,,,30,,800,,,,,,300,,,,30,,,,,,,,,,30,,,150,300,,400,,,,300,50,,,,,,,,,200,,,,,,,51,1.2,31.2,0.2,0,9,684.5,0.624447209,0.6845,,,,2,,10,,,,,,3,,1,,,,,,,,7,,8,,,,16,,1,,1,,,,,,1,,0.000100584,24,116.69,0,0,0,0.017139429,0,0.085697146,0,0,0,0,0,0.025709144,0,0.008569715,0,0,0,0,0,0,0,0.059988002,0,0.068557717,0,0,0,0.137115434,0,0.008569715,0,0.008569715,0,0,0,0,0,0.008569715,0
46,1,8,7,189,0.91356888,i,7,i7,4498,38,50,83.35,0.599880024,,100,,,,30,,,,,,,100,,,,,,100,,,,,,100,,,15,,,,,,,3,,,,,,1,,,,,,,,,,,80,20,,,,,10,,,,,,,,10,,,1200,5,10,,10,,,,30,,50,1,,,,5,100,,,,,,,5,,,,,,,,200,,,100,,20,,,,,,,,,,100,,100,,,,,,50,,20,,,,,,,3,,,,,,10,,300,800,5,400,,,,200,5,,,,,,,,,200,,,,,,,57,0.15,41.5,0.6,0.1,17.2,648.5,0.591605574,0.6485,,,,1,,2,,,,,,,,,1,,,,1,,,13,,2,,,,27,,1,,2,,,,,,,,0.000133366,21,83.35,0,0,0,0.0119976,0,0.023995201,0,0,0,0,0,0,0,0,0.0119976,0,0,0,0.0119976,0,0,0.155968806,0,0.023995201,0,0,0,0.323935213,0,0.0119976,0,0.023995201,0,0,0,0,0,0,0
47,1,8,7,189,0.91356888,i,6,i6,4045,53,50,100.02,0.49990002,250,30,,,,20,,,,,,,150,1,,,,,400,,,,,,500,,50,15,30,,,,,,,,,,,,5,,,,,,,,,,,20,50,,,1,,30,,,,,,,,10,,,800,2,5,1,10,,10,,20,,100,,,,,,200,,,,,,,50,,,,2,4,,1,100,,,10,,50,,,,20,1,,,,,50,1,50,,,,5,,100,,20,,,,,,,10,,5,,,,,,100,200,20,200,,,,300,5,,,,,1,,,,20,,,6,1,3,,58,1.5,33.8,0.7,0,21,702.2,0.640594347,0.7022,,,,,,8,,,,,,1,,,4,,,,2,,,11,,6,,,,15,,,,3,,,,,,,,0.000123585,20,100.02,0,0,0,0,0,0.079984003,0,0,0,0,0,0.009998,0,0,0.039992002,0,0,0,0.019996001,0,0,0.109978004,0,0.059988002,0,0,0,0.149970006,0,0,0,0.029994001,0,0,0,0,0,0,0
48,1,8,7,189,0.91356888,i,2,i2,6411,39,57,83.35,0.683863227,30,,,,,30,,,,,,,80,10,,,,,1500,,,,,,300,,,10,10,,,,,,,,,,,,,,,,,,,,,,,50,3,,,,,80,,,,,,,,50,,,1200,10,20,,,,,,30,,30,,,,,,50,,,,,,,100,,,,10,,,,50,,100,100,,100,,,,,,,5,,,50,,50,,,,,,150,,50,,5,30,,,,10,,,,,8,,,100,200,,200,,,,1500,50,,,,,,,,,50,,,,,,,56,1.2,20.2,0,0,25.8,737.4,0.672706168,0.7374,,,,2,,33,,,,,,2,,,,,,,,,,11,,6,1,,,2,,,,,,,,,,,,0.00010667,22,83.35,0,0,0,0.023995201,0,0.395920816,0,0,0,0,0,0.023995201,0,0,0,0,0,0,0,0,0,0.131973605,0,0.071985603,0.0119976,0,0,0.023995201,0,0,0,0,0,0,0,0,0,0,0
49,1,8,7,189,0.91356888,i,1,i1,4762,41,50,66.68,0.74985003,200,,,,,150,,,,,,,30,,,,,,500,,,5,,,200,,50,3,,,,3,,,1,,,,,,100,,,,50,,,,,,,,,,,,,400,,,,,,8,,,,,800,,30,,,,10,,10,,50,2,,,,,200,,,,,,,50,,,,,,,,100,,100,200,,30,,,,10,,,,10,,150,,200,,,,,,50,,50,,,,,,,20,,,,,,,,50,100,,300,,,,400,50,,,80,,,,,,,,,5,,5,,44,0.7,25.8,0,0,22.3,766.3,0.699070703,0.7663,,,,1,,2,,,,,,3,,,4,,,,1,,,19,,7,,,,11,,,,1,,1,,,,,,0.000157465,21,66.68,0,0,0,0.014997001,0,0.029994001,0,0,0,0,0,0.044991002,0,0,0.059988002,0,0,0,0.014997001,0,0,0.284943011,0,0.104979004,0,0,0,0.164967007,0,0,0,0.014997001,0,0.014997001,0,0,0,0,0
50,1,9,7,190,0.918402578,a,1,a1,5747,49,50,116.69,0.428485731,500,100,,,,10,,,,,,,,,,30,20,,400,,,,,,30,100,20,150,10,,,,,,10,,,10,,,,,,,,,,,10,,30,,30,,15,,,200,,,1,,100,,8,,,,600,3,,20,2,,20,,2,,100,,,,20,,600,,,,,,,50,,,,2,,,1,50,,20,200,,20,,,,10,,,,,,20,,400,,,2,,,500,,,,,,,,,20,,,,,,,1,,50,,100,,,,1000,100,50,,,,,,,,,,,,,,,61,0.4,6,0,0,29.5,1020.6,0.931060368,1.0206,,,,2,,6,,,,,,,,1,1,,,,1,,,17,,17,1,,,3,,,,1,,,,,,,,7.46E-05,20,116.69,0,0,0,0.017139429,0,0.051418288,0,0,0,0,0,0,0,0.008569715,0.008569715,0,0,0,0.008569715,0,0,0.145685149,0,0.145685149,0.008569715,0,0,0.025709144,0,0,0,0.008569715,0,0,0,0,0,0,0
51,1,9,7,190,0.918402578,a,2,a2,3995,31,50,150.03,0.33326668,20,,,,,,,,,,,,,,,,,,2000,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,5,,,,,,100,,,30,,,1,,,,,,,,200,,10,,,,10,,1,,30,1,,,20,,30,,,,,,,50,,,,1,,,,10,,50,400,,10,,,,20,,,5,,,100,,300,,,,,,30,,30,,,,,,,1,,,,,,,,,20,,300,,,,200,,,,,,,,,,,,,,,,,50,0.55,3.8,0,0,37.3,984.9,0.898492412,0.9849,,,,,,1,,1,,,,,,,,,,,,,,35,,8,1,,,2,,,,2,,,,,,,,8.34E-05,17,150.03,0,0,0,0,0,0.006665334,0,0.006665334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233286676,0,0.053322669,0.006665334,0,0,0.013330667,0,0,0,0.013330667,0,0,0,0,0,0,0
52,1,9,7,190,0.918402578,a,3,a3,4874,38,50,100.02,0.49990002,300,,,,,30,,,,,,,,,,10,,,200,,,,,,,,50,100,,,,,,,,,,,,,,,,,,,,,10,,5,,,,20,,,150,,,,,,,,,,,400,,,10,5,,10,,3,,50,,,,,,50,,,,,,,50,,,,2,,,,50,,200,50,,100,,,,,,,50,,,100,,300,,,,100,,50,,,,1,,,,,10,,,,,2,,1,5,,,300,,,,2000,80,,,,,,,,,10,,,10,,,,65,0.45,5.2,0.3,0,36.7,949.8,0.866471818,0.9498,,,,,,5,,,,,,,,2,,,,,,,,28,,12,,,,3,,,,,,,,,,,,0.000102565,17,100.02,0,0,0,0,0,0.049990002,0,0,0,0,0,0,0,0.019996001,0,0,0,0,0,0,0,0.279944011,0,0.119976005,0,0,0,0.029994001,0,0,0,0,0,0,0,0,0,0,0
53,1,10,7,191,0.923236276,n,1,n1,1449,34,50,216.71,0.230723086,20,50,,,,,,,100,,,,,,10,2,10,,,,,,1,2,,50,1,,3,,,,,,,,,,,,,,,,,,,,50,,,,20,,20,,,,,,,,,,,,,,50,15,,1,1,,15,,1,,50,,,,10,,,,,,,,,,,,,1,,,,,,,50,,1,,,5,,,,100,,,20,,200,,,,10,,,,,,,,,,,,,,,,,,,,,,500,,,,50,10,20,,,,,,,,,,,,,,,60,1.9,6.1,0,0,34,1390.3,1.268325719,1.3903,,,,,,2,,,,,,2,,,5,,,,,,,24,,3,2,3,,1,,,,8,,,,,,,,0.000159229,15,216.71,0,0,0,0,0,0.009228923,0,0,0,0,0,0.009228923,0,0,0.023072309,0,0,0,0,0,0,0.110747081,0,0.013843385,0.009228923,0.013843385,0,0.004614462,0,0,0,0.036915694,0,0,0,0,0,0,0
54,1,10,7,191,0.923236276,n,2,n2,1051,32,50,166.7,0.299940012,30,20,,,,,,,100,,,,,,5,5,30,,,,,,1,,,50,10,,2,,,,,,,,,10,,,,,,,,,,,10,,,,3,,,,,5,,,,,,,,,,,50,30,,,,,,,,,50,,,,80,,,,,,,,,,,,,,,,,,1,,20,,5,,,3,,,,,,,20,,250,,5,,,,,,,,,,,,,10,,,,,,,2,,,,200,,,,20,3,1,,20,,,,,,,,,,,,,55,2.1,4.6,0,0,33.8,1405.5,1.282192188,1.4055,,,,1,,3,,,,,,,,,5,,1,,,,,31,,,3,,,3,,,,1,,,,,2,,,0.000285385,15,166.7,0,0,0,0.0059988,0,0.017996401,0,0,0,0,0,0,0,0,0.029994001,0,0.0059988,0,0,0,0,0.185962807,0,0,0.017996401,0,0,0.017996401,0,0,0,0.0059988,0,0,0,0,0.0119976,0,0
55,1,10,7,191,0.923236276,a,4,a4,5951,38,50,116.69,0.428485731,100,,,,,10,,,,,,,,2,,5,,,300,,,,,,,5,30,50,,,,,,,,,,,,,1,,,,,,,,20,,10,,,,,,,150,,,,,50,,,,,,800,,,10,20,,,,,,100,,,,10,,300,,,,,,,30,,,,1,,,,,,50,100,,50,,,,5,,,50,,,50,,300,,,,5,,800,,,,,15,,,,20,,,,,1,,,,,,400,,,,2000,50,50,,,,,,,,,,,1,,,,55,3.15,11.2,0.15,0,33.2,1002.8,0.914822003,1.0028,,,,,,1,,,,,,1,,1,1,,,,,,,30,,9,,,,4,1,,,2,,,,,,,,7.20E-05,20,116.69,0,0,0,0,0,0.008569715,0,0,0,0,0,0.008569715,0,0.008569715,0.008569715,0,0,0,0,0,0,0.257091439,0,0.077127432,0,0,0,0.034278859,0.008569715,0,0,0.017139429,0,0,0,0,0,0,0
56,1,10,7,191,0.923236276,a,5,a5,9240,48,50,150.03,0.33326668,50,50,,,,10,,,,,,,,,,20,20,,300,,,30,,,,50,40,150,30,,,,,,1,,,,,,,,,,,,,,100,,10,,30,,1,,,300,,,20,,,,,,,,400,,,50,40,,10,,2,,200,,,,30,,,,,,,,,50,,,,3,,,,20,,200,500,,200,,,,,3,,50,,,50,,300,,,10,150,,300,,,,50,,,,,20,,,,,30,,,100,100,,1500,,,,3500,50,100,,,,,,,,10,,,,,,,61,3.6,6.6,1.1,1.2,20.4,1001,0.913179922,1.001,,,,1,,,,,,,,,,8,2,,,,1,,,12,,11,,,,9,,,,4,,,,,1,1,,3.61E-05,19,150.03,0,0,0,0.006665334,0,0,0,0,0,0,0,0,0,0.053322669,0.013330667,0,0,0,0.006665334,0,0,0.079984003,0,0.07331867,0,0,0,0.059988002,0,0,0,0.026661334,0,0,0,0,0.006665334,0.006665334,0
57,1,10,7,191,0.923236276,a,6,a6,9642,33,55,100.02,0.549890022,400,,,,,15,,,,,,,,,,,,,1200,,,,,,,,,50,20,,,,,,,,,,,,,,,,,,,,,,,,50,,20,,,200,,,1,,,,,,,,600,,,,30,,,,,,600,,,,30,,50,,,,,,,100,,,,,,,,20,,200,500,,100,,,,,,,50,,,200,,1500,,,,5,,80,,,,,,,,,20,,,,,100,,,100,100,,600,,,,2500,150,50,,,,,,,,,,,,1,,,59,2.5,10.8,0,0,18.7,981.9,0.895755609,0.9819,,,,,,15,,,,,,,,,2,,,,,,,20,,8,1,,,5,,,,4,,,,,,,,5.70E-05,19,100.02,0,0,0,0,0,0.149970006,0,0,0,0,0,0,0,0,0.019996001,0,0,0,0,0,0,0.199960008,0,0.079984003,0.009998,0,0,0.049990002,0,0,0,0.039992002,0,0,0,0,0,0,0
58,1,11,7,192,0.928069973,n,3,n3,1951,34,50,116.69,0.428485731,50,20,,,,,,,200,,,,,,,,,,,,,,,,,100,,,10,,1,,,,,,,20,,,1,,,,,,,,50,,,,30,,10,,,50,,,,,,,,,,,50,10,15,5,,,,,1,,50,,,,30,,,,,,,,,,,,,,,,,,,,100,,20,,,,,,,50,,,50,,200,,,,,,3,,,,,150,,,6,5,,,,,,,3,,,,400,,,,200,10,50,,,,,,1,,,,,,,,,58,1.6,18.6,3,0.4,33.9,1407.7,1.284199176,1.4077,,,,,,1,,,,,,1,,,2,,,,,,1,38,,,1,,,3,,,,3,,,,,,,,0.000219624,16,116.69,0,0,0,0,0,0.008569715,0,0,0,0,0,0.008569715,0,0,0.017139429,0,0,0,0,0,0.008569715,0.325649156,0,0,0.008569715,0,0,0.025709144,0,0,0,0.025709144,0,0,0,0,0,0,0
59,1,11,7,192,0.928069973,n,4,n4,1947,36,50,116.69,0.428485731,20,10,,,,,,,500,,,,,,,10,5,,30,,,,1,,,10,25,,5,,1,,,,2,,,,,,,,,,,,,,80,,,,25,,5,,,,,,,,,,,,,,100,20,,,8,,10,,5,,200,,,,10,,,,5,,,,,,,,,2,,,,,,,20,,20,,,,,,,100,,,100,,100,,,,30,,,,,,,,,,,3,,10,,,,,,,,,300,,,,150,20,,,,,,,,5,,,,,,,,61,2.55,14,0,0.15,35.6,1420,1.295420069,1.42,,,,,1,6,,,,,,,,,,,,,,,2,36,,,1,1,,2,,,,1,,,,,,,,0.000220075,17,116.69,0,0,0,0,0.008569715,0.051418288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017139429,0.308509727,0,0,0.008569715,0.008569715,0,0.017139429,0,0,0,0.008569715,0,0,0,0,0,0,0
60,1,11,7,192,0.928069973,n,5,n5,3101,31,50,150.03,0.33326668,40,5,,,,,,,100,,,,,,,1,10,,,,,,5,,,50,,,5,,,,,,1,,,,,,,,,,,,,,50,,,,50,,10,,,50,,,,,,,,,,,50,20,,,,,,,1,,100,,,,100,,,,,,,,,,,,,,,,,,,,200,,10,,,,,,,20,,,50,,400,,,,,,,,,,,5,,,,2,,5,,,,,,,50,,1500,,,,200,1,10,,,,,,,,,,,,,,,57,2.7,20.7,0.1,0,31.8,1398.6,1.275897541,1.3986,,,,,,4,,,,,,,1,,,,4,,,,,30,,2,3,1,,1,,,,4,,,,,,,,0.000107471,19,150.03,0,0,0,0,0,0.026661334,0,0,0,0,0,0,0.006665334,0,0,0,0.026661334,0,0,0,0,0.199960008,0,0.013330667,0.019996001,0.006665334,0,0.006665334,0,0,0,0.026661334,0,0,0,0,0,0,0
61,1,11,7,192,0.928069973,o,4,o4,3316,39,50,200.04,0.24995001,10,50,,,10,,,,300,,,,,,,,,,,,,,30,5,,20,,1,250,,50,,,,,,,,,,,,,,,,,2,100,,,,,,20,,1,100,,,,10,,,,,,4,500,50,,,1,,1,,1,,200,,,,30,,,,,,,,,,,,,,,,,,,,,,100,,,50,,,,500,10,,250,,200,,,,,,,,,,,,,,,2,,,,,,,1,,,3,300,,,,100,30,20,1,,,,,,3,,,,,,,,60,0,7.8,0,0,35.2,1576.2,1.437916276,1.5762,,,,2,,10,,,,,,1,,1,4,,2,,,,3,14,,,,2,,,,,,7,,,,,4,,,7.54E-05,19,200.04,0,0,0,0.009998,0,0.049990002,0,0,0,0,0,0.004999,0,0.004999,0.019996001,0,0.009998,0,0,0,0.014997001,0.069986003,0,0,0,0.009998,0,0,0,0,0,0.034993001,0,0,0,0,0.019996001,0,0
62,1,12,7,193,0.932903671,o,3,o3,3468,38,92,83.35,1.103779244,1,200,,,,,,,500,,,,,3,,,,,,,,,,5,,10,3,,250,,25,,,,,,,,,,,,1,,,,,2,10,,,,,,5,,2,100,,,,20,,,,,,1,400,5,,,10,,1,,1,,200,,,,50,,,,,,,,,,,,,,,,,,1,1,20,,1,,,10,,,,800,,,50,,200,,,,,,,,10,,,,,,,,,,,,,,,,,,400,,,,10,30,100,,,,,,,30,,,,,,,,49,0.1,3.1,0.1,0,28.4,1612.7,1.471214046,1.6127,,,,1,,5,,,,,,,,,1,,42,,,,4,32,,,,,,,,,,6,,,,,1,,,0.000318275,13,83.35,0,0,0,0.0119976,0,0.059988002,0,0,0,0,0,0,0,0,0.0119976,0,0.50389922,0,0,0,0.047990402,0.383923215,0,0,0,0,0,0,0,0,0,0.071985603,0,0,0,0,0.0119976,0,0
63,1,12,7,193,0.932903671,u,1,u1,9790,42,,,,50,300,,,,,,,5000,,,,,20,,,100,,,,,,30,80,,200,,,250,,30,,,,,,,30,,,,,,,,,,,30,,,,,,20,,,200,,,,300,,,,,,1,400,50,,100,20,,30,3,30,,50,,,,200,,,,,20,,,,,,,,,,,,,,10,200,,300,,,,,,,200,,,150,,300,,,,,300,,,,,,,,1,,200,,,,,,,,,,,400,,,,50,50,50,,20,,,,,5,,,,,10,,,67,4,22,0.25,0,26.5,1745.8,1.59263687,1.7458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,12,7,193,0.932903671,u,2,u2,5237,27,,,,,200,,,,,,,2000,,,,,3,,,,,,,,,,50,,50,,,200,,1,,,,,,,,,,,,,,,,,,10,,,,,,,,3,200,,,,10,,,,,,,400,50,,30,5,,,,30,,50,,,,,,,,,,,,,,,,,,,,,,,,50,,200,,,,,,,500,,,300,,300,,,,,,,,,,,,,,,10,,,,,,,,,,,500,,,,,30,50,,,,,,,5,,,,,,,,67,0,17.9,1.1,0.05,18.6,1749.2,1.59573858,1.7492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,15,7,196,0.947404765,i,3,i3,7073,41,50,62.5,0.8,800,,,,,300,,,,,,,,,,1,20,,,,,,1,,,,,6,20,,,,,,5,,,20,,30,,,,,,,,15,3000,,100,,,,30,,,100,50,,,,20,,,,,,50,,,5,50,,3,,5,,300,,,,20,,400,,,,,,,100,,,,,,,2,,,300,200,,50,,,,,,,,,,100,,500,,,,,,150,,,,,,,,,40,,,,,,,,,,,100,,,,50,100,20,,,,,5,,,3,,,2,,,,45,0.05,18.6,0,0.05,10.5,711.5,0.649078436,0.7115,,,,2,,3,,,,,,,,,,,,,,,,21,,14,3,1,,5,,,,1,,,,,,,,0.000113106,13,62.5,0,0,0,0.032,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336,0,0.224,0.048,0.016,0,0.08,0,0,0,0.016,0,0,0,0,0,0,0
66,1,15,7,196,0.947404765,i,4,i4,3283,41,50,50.01,0.99980004,500,,,,,20,,,,,,,,10,,,500,,,,,,,,,100,5,2,,10,,8,,,2,,,20,,10,,,,,,5,,20,50,,20,,,,,,,50,,,,,10,,,,,,50,,,10,10,,50,,,,,,,,100,,400,,,,,,20,20,,,,,,,,,,100,100,,10,,,,,,,,,,,,500,,,,,,50,,,,,,,,,20,,,,,,,1,50,,,100,,250,,10,20,20,,,,,20,,,30,,,,,,,46,3.6,19.8,0,0.05,10.85,702.4,0.6407768,0.7024,,,,,,1,,,,,,2,,,,2,,,,,,34,,7,,,,2,,1,,1,,,,,,,,0.000304539,13,50.01,0,0,0,0,0,0.019996001,0,0,0,0,0,0.039992002,0,0,0,0.039992002,0,0,0,0,0,0.679864027,0,0.139972006,0,0,0,0.039992002,0,0.019996001,0,0.019996001,0,0,0,0,0,0,0
